dimension_1,value_1,dimension_2,value_2,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge,roi_standard_error,roi_ci_95_low,roi_ci_95_high,roi_x_sqrt_n,conservative_score,ranking_note
line_bucket,3.5,ev_bucket,5-10,64,30,34,0,0.46875,-7.08,-0.110625,3.5,3.685625,0.18562499999999998,0.5710124999999999,7.304574218750002,1.90875,0.18562499999999998,0.18562499999999998,0.4228125,0.12100252420133738,-0.3477899474346212,0.12653994743462124,-0.885,-0.3477899474346212,exploratory
line_bucket,4.5,verified_edge_bucket,0-0.5,72,33,39,0,0.4583333333333333,-9.149999999999999,-0.12708333333333333,4.5,4.510555555555555,0.01055555555555556,0.5358180555555556,4.810805555555555,1.9737500000000001,0.01055555555555556,0.01055555555555556,0.2294444444444444,0.11344933953463576,-0.34944403882121944,0.09527737215455276,-1.0783378413094848,-0.34944403882121944,exploratory
side,under,line_bucket,2.5,132,58,74,0,0.4393939393939394,-25.939999999999998,-0.1965151515151515,2.5,2.475075757575758,-0.024924242424242425,0.5868397727272727,5.946811363636366,1.8396969696969698,-0.024924242424242425,-0.024924242424242425,0.31068181818181817,0.08076619449451686,-0.35481689272440453,-0.038213410305898476,-2.257787197745401,-0.35481689272440453,exploratory
probability_bucket,52.5-55%,ev_bucket,5-10,37,18,19,0,0.4864864864864865,-1.0999999999999996,-0.02972972972972972,3.391891891891892,3.6494594594594596,0.2575675675675675,0.5402256756756757,7.628425675675677,1.9927027027027029,0.2575675675675675,0.2575675675675675,0.2689189189189189,0.1661927887003192,-0.35546759558235536,0.29600813612289595,-0.18083888603589296,-0.35546759558235536,exploratory
ev_bucket,2-5,verified_edge_bucket,0-0.5,196,79,117,0,0.4030612244897959,-43.629999999999995,-0.2226020408163265,3.5816326530612246,3.6679591836734686,0.08632653061224489,0.5306655612244897,3.402273214285714,1.9713775510204081,0.08632653061224489,0.08632653061224489,0.2225510204081632,0.06836629362185224,-0.35659997631515694,-0.0886041053174961,-3.116428571428571,-0.35659997631515694,exploratory
projection_minus_line_bucket,0.5-1,ev_bucket,2-5,58,28,30,0,0.4827586206896552,-6.65,-0.11465517241379311,3.0344827586206895,3.7436206896551725,0.7091379310344826,0.5793810344827586,3.4728465517241376,1.816034482758621,0.7091379310344826,0.7091379310344826,0.7091379310344826,0.12380003965893886,-0.3573032501453133,0.12799290531772706,-0.8731877785171551,-0.3573032501453133,exploratory
side,over,line_bucket,1.5,34,18,16,0,0.5294117647058824,-2.310000000000001,-0.06794117647058827,1.5,2.0823529411764703,0.5823529411764706,0.597239705882353,6.175236764705884,1.8355882352941175,0.5823529411764706,0.5823529411764706,0.5923529411764705,0.15655139276311833,-0.3747819062863002,0.23889955334512364,-0.3961617316791956,-0.3747819062863002,exploratory
probability_bucket,65-70%,verified_edge_bucket,0.5-1,38,21,17,0,0.5526315789473685,-4.609999999999999,-0.1213157894736842,2.8947368421052633,2.895789473684211,0.001052631578947381,0.6731000000000001,6.393056578947371,1.5813157894736845,0.001052631578947381,0.001052631578947381,0.726842105263158,0.1301083753604026,-0.3763282051800733,0.1336966262327049,-0.7478407514128151,-0.3763282051800733,exploratory
line_bucket,2.5,ev_bucket,2-5,91,39,52,0,0.42857142857142855,-16.84,-0.18505494505494505,2.5,2.7775824175824178,0.27758241758241764,0.5519208791208791,3.321396153846154,1.903076923076923,0.27758241758241764,0.27758241758241764,0.34681318681318685,0.10076730937167412,-0.3825588714234263,0.012448981313536223,-1.7653116650397103,-0.3825588714234263,exploratory
side,over,verified_edge_bucket,0-0.5,133,50,83,0,0.37593984962406013,-27.689999999999998,-0.2081954887218045,3.31203007518797,3.530601503759399,0.21857142857142858,0.4948176691729324,5.305486466165415,2.140526315789474,0.21857142857142858,0.21857142857142858,0.23270676691729314,0.08909757660341466,-0.38282673886449725,-0.033564238579111755,-2.401027505612288,-0.38282673886449725,exploratory
line_bucket,3.5,verified_edge_bucket,0.5-1,43,22,21,0,0.5116279069767442,-5.199999999999999,-0.12093023255813952,3.5,3.8086046511627902,0.3086046511627907,0.62085,5.68599534883721,1.7127906976744185,0.3086046511627907,0.3086046511627907,0.6811627906976744,0.13369972387098264,-0.3829816913452655,0.14112122622898648,-0.7929925657295441,-0.3829816913452655,exploratory
