player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Dylan Sampson,163772,HB,CLV,1,2,2,0,0.0,0,0,-4,0,0,2,3,100.0,0,0,8,0,0,71.7,50.9,77.0,,10.9,56.0,56.7,60.0,3,0,3,1,16,3,0,0,1,3,0,-4,3,1.5,-2.0,0.19,1
Bryce Young,123943,QB,CAR,1,2,0,0,0.0,0,0,6,0,0,0,0,0.0,0,1,5,1,0,77.6,36.3,78.3,34.3,,,64.7,60.0,6,0,0,0,0,23,0,0,0,2,0,6,0,0.0,3.0,,1
Ray Davis,101072,HB,BUF,1,2,0,0,0.0,0,0,-2,1,0,0,-1,0.0,0,0,4,0,0,71.3,41.8,69.8,,,28.0,55.0,60.0,-1,0,0,1,3,3,0,0,2,3,0,-2,-1,-0.5,-1.0,0.0,2
Mac Jones,60323,QB,SF,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,0,1,28,0,0,79.5,69.3,0.0,70.9,,,58.2,60.0,3,1,0,0,0,21,0,0,0,1,0,3,0,0.0,3.0,,0
Tre Tucker,101106,WR,LV,1,1,0,0,0.0,0,0,7,0,1,0,4,133.3,0,0,23,0,0,67.4,60.7,80.4,,,58.9,63.1,58.5,7,1,28,2,35,23,0,0,3,3,0,7,4,4.0,7.0,0.8,0
Kameron Johnson,165866,WR,TB,1,1,0,0,0.0,0,0,11,1,0,0,3,0.0,1,1,30,0,0,73.9,46.4,71.6,,,41.2,63.1,60.2,11,0,0,0,5,4,0,0,1,1,0,11,3,3.0,11.0,0.0,0
Justice Hill,45865,HB,BLT,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,3,0,0,67.2,67.5,75.8,,44.0,69.7,62.6,59.9,1,0,12,1,7,4,0,0,2,2,1,1,1,1.0,1.0,1.71,1
Ty Johnson,45769,HB,BUF,1,1,0,0,0.0,0,0,2,0,2,0,2,133.3,0,0,4,0,0,66.2,52.2,76.7,,34.9,56.1,56.2,60.0,2,0,24,2,21,2,0,0,2,3,0,2,2,2.0,2.0,1.14,1
D'Ernest Johnson,45734,HB,NE,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,19,0,1,61.9,58.8,70.6,,75.2,58.4,59.7,60.0,1,0,0,0,2,2,0,0,0,1,0,1,1,1.0,1.0,0.0,0
Alec Ingold,34934,FB,MIA,1,1,1,0,0.0,0,0,6,0,0,1,5,500.0,0,1,17,0,0,61.9,64.1,73.7,,73.2,56.8,61.4,61.8,6,1,0,0,3,14,0,0,0,1,0,6,5,5.0,6.0,0.0,0
