slice,position,line_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag,side,fav_status,spread_bucket,total_bucket
side + spread_bucket,,,70,35,0,0.5,-3.181818181818179,-0.045454545454545414,40.628571428571426,45.364428571428576,4.735857142857142,6.4135985268685936,42.75714285714286,2.1285714285714286,2.6072857142857138,-110.22857142857143,-110.22857142857143,-106.94285714285714,0.557942857142857,0.5243043921281573,0.03363846501469997,0.05794285714285696,projection_high,True,over,,favorite_0_to_3,
side + spread_bucket,,,192,92,0,0.4791666666666667,-16.363636363636356,-0.0852272727272727,41.03125,46.230625,5.199375,6.237869769119776,44.348958333333336,3.3177083333333335,1.881666666666667,-109.94791666666667,-109.94791666666667,-110.05208333333333,0.5563541666666666,0.5236885404568331,0.032665626209833515,0.07718749999999991,projection_high,True,over,,favorite_3_to_7,
side + spread_bucket,,,44,25,0,0.5681818181818182,3.7272727272727293,0.08471074380165294,41.29545454545455,46.48522727272727,5.189772727272727,6.977252404823201,50.20454545454545,8.909090909090908,-3.719318181818181,-110.27272727272727,-110.27272727272727,-105.22727272727273,0.561,0.5243945243945245,0.03660547560547558,-0.007181818181818178,projection_low,False,over,,favorite_7_plus,
side + spread_bucket,,,13,9,0,0.6923076923076923,4.1818181818181825,0.3216783216783217,40.57692307692308,37.23153846153847,3.5730769230769224,5.440559440559448,33.92307692307692,-6.653846153846154,3.30846153846154,-110.0,-110.0,-110.0,0.5523076923076923,0.5238095238095238,0.028498168498168483,-0.14,projection_high,False,under,,dog_0_to_3,
side + spread_bucket,,,11,7,0,0.6363636363636364,2.363636363636364,0.2148760330578513,45.31818181818182,42.947272727272725,2.414545454545455,4.791735537190096,43.18181818181818,-2.1363636363636362,-0.23454545454545536,-110.0,-110.0,-110.0,0.5489090909090909,0.5238095238095238,0.025099567099567118,-0.08745454545454545,projection_low,False,under,,dog_3_to_7,
side + spread_bucket,,,6,3,0,0.5,-0.2727272727272725,-0.045454545454545414,34.833333333333336,31.96333333333334,3.096666666666667,4.618181818181827,44.333333333333336,9.5,-12.37,-110.0,-110.0,-110.0,0.5479999999999999,0.5238095238095238,0.02419047619047619,0.04799999999999993,projection_low,False,under,,dog_7_plus,
side + spread_bucket,,,2,1,0,0.5,-0.09090909090909083,-0.045454545454545414,53.0,50.89,2.1099999999999994,3.0909090909091024,54.0,1.0,-3.1099999999999994,-110.0,-110.0,-110.0,0.54,0.5238095238095238,0.0161904761904762,0.040000000000000036,projection_low,False,under,,favorite_0_to_3,
side + spread_bucket,,,7,3,0,0.42857142857142855,-1.2727272727272725,-0.1818181818181818,42.642857142857146,41.80571428571428,1.5457142857142852,3.5818181818181936,52.714285714285715,10.071428571428571,-10.908571428571431,-110.0,-110.0,-110.0,0.5425714285714287,0.5238095238095238,0.018761904761904775,0.11400000000000016,projection_low,False,under,,favorite_3_to_7,
side + spread_bucket,,,4,2,0,0.5,-0.18181818181818166,-0.045454545454545414,47.25,44.1525,3.097500000000001,4.904545454545467,47.5,0.25,-3.347500000000001,-110.0,-110.0,-110.0,0.5495000000000001,0.5238095238095238,0.025690476190476208,0.0495000000000001,projection_low,False,under,,favorite_7_plus,
side + total_bucket,,,166,84,0,0.5060240963855421,-5.63636363636363,-0.033953997809419455,42.28915662650602,47.23343373493976,4.974156626506025,6.281862377740632,46.12048192771084,3.8313253012048194,1.1129518072289157,-110.02409638554217,-110.02409638554217,-109.97590361445783,0.5567710843373495,0.5238631428249716,0.032907941512377935,0.05074698795180732,projection_high,True,over,,,high_total_47_plus
side + total_bucket,,,166,87,0,0.5240963855421686,0.10774410774411436,0.0006490608900247853,35.3855421686747,40.48951807228916,5.103975903614458,6.4311414227866965,42.09036144578313,6.704819277108434,-1.600843373493976,-108.79518072289157,-108.79518072289157,-108.81927710843374,0.5574819277108435,0.5237935704803176,0.03368835723052589,0.03338554216867484,projection_low,False,over,,,low_total_<42
side + total_bucket,,,284,138,0,0.4859154929577465,-20.50216450216449,-0.07219072007804397,39.76056338028169,44.57975352112677,4.819190140845071,6.167428715362224,43.140845070422536,3.380281690140845,1.4389084507042256,-109.97183098591549,-109.97183098591549,-109.33098591549296,0.5560422535211268,0.5237365745782098,0.03230567894291699,0.0701267605633803,projection_high,True,over,,,mid_total_42_47
side + total_bucket,,,17,8,0,0.47058823529411764,-1.7272727272727266,-0.10160427807486627,42.3235294117647,40.20705882352941,2.290588235294117,4.101604278074877,48.35294117647059,6.029411764705882,-8.145882352941177,-110.0,-110.0,-110.0,0.5452941176470589,0.5238095238095238,0.021484593837535013,0.07470588235294129,projection_low,False,under,,,high_total_47_plus
side + total_bucket,,,8,5,0,0.625,1.5454545454545459,0.19318181818181823,39.875,37.473749999999995,2.64125,5.095454545454557,34.0,-5.875,3.473750000000001,-110.0,-110.0,-110.0,0.5505000000000001,0.5238095238095238,0.026690476190476195,-0.0744999999999999,projection_high,False,under,,,low_total_<42
side + total_bucket,,,18,12,0,0.6666666666666666,4.90909090909091,0.27272727272727276,43.888888888888886,40.88499999999999,3.2750000000000004,5.0848484848484965,41.94444444444444,-1.9444444444444444,-1.0594444444444453,-110.0,-110.0,-110.0,0.5504444444444444,0.5238095238095238,0.02663492063492064,-0.11622222222222223,projection_low,False,under,,,mid_total_42_47
