pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
27,Olaivavega Ioane,0.0242,0.0,0.0242,0.0242,v1,2026-04-17T08:11:29,,
5,Rueben Bain Jr.,0.0,0.0240838312204116,-0.0240838312204116,0.0240838312204116,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
30,Olaivavega Ioane,0.024,0.0,0.024,0.024,v1,2026-04-17T08:11:29,,
7,Kenyon Sadiq,0.0016,0.0255763723739349,-0.0239763723739349,0.0239763723739349,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
18,Kenyon Sadiq,0.0238,0.0,0.0238,0.0238,v1,2026-04-17T08:11:29,,
23,Kadyn Proctor,0.0238,0.0,0.0238,0.0238,v1,2026-04-17T08:11:29,,
25,Caleb Lomu,0.0236,0.0,0.0236,0.0236,v1,2026-04-17T08:11:29,,
22,Blake Miller,0.023,0.0,0.023,0.023,v1,2026-04-17T08:11:29,,
15,Kadyn Proctor,0.0228,0.0,0.0228,0.0228,v1,2026-04-17T08:11:29,,
12,Olaivavega Ioane,0.0226,0.0,0.0226,0.0226,v1,2026-04-17T08:11:29,,
19,Denzel Boston,0.0226,0.0,0.0226,0.0226,v1,2026-04-17T08:11:29,,
25,Caleb Downs,0.0226,0.0,0.0226,0.0226,v1,2026-04-17T08:11:29,,
10,Kadyn Proctor,0.0066,0.0291317881464543,-0.022531788146454297,0.022531788146454297,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
19,Caleb Lomu,0.0224,0.0,0.0224,0.0224,v1,2026-04-17T08:11:29,,
31,Peter Woods,0.0224,0.0,0.0224,0.0224,v1,2026-04-17T08:11:29,,
7,Arvell Reese,0.031,0.0089129782515227,0.0220870217484773,0.0220870217484773,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
4,Sonny Styles,0.0832,0.1050609183320212,-0.02186091833202121,0.02186091833202121,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
9,Carnell Tate,0.0328,0.0545508318688736,-0.021750831868873596,0.021750831868873596,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
5,Makai Lemon,0.039,0.0173938781036306,0.0216061218963694,0.0216061218963694,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
30,Kayden McDonald,0.0214,0.0,0.0214,0.0214,v1,2026-04-17T08:11:29,,
31,Colton Hood,0.0214,0.0,0.0214,0.0214,v1,2026-04-17T08:11:29,,
10,Carnell Tate,0.0052,0.0265985891771974,-0.0213985891771974,0.0213985891771974,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
26,Omar Cooper Jr.,0.0212,0.0,0.0212,0.0212,v1,2026-04-17T08:11:29,,
5,Mansoor Delane,0.0118,0.0329568216700369,-0.0211568216700369,0.0211568216700369,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
10,Peter Woods,0.0,0.0210954327957082,-0.0210954327957082,0.0210954327957082,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
18,Jermod McCoy,0.021,0.0,0.021,0.021,v1,2026-04-17T08:11:29,,
19,Dillon Thieneman,0.021,0.0,0.021,0.021,v1,2026-04-17T08:11:29,,
31,Blake Miller,0.021,0.0,0.021,0.021,v1,2026-04-17T08:11:29,,
16,Blake Miller,0.0208,0.0,0.0208,0.0208,v1,2026-04-17T08:11:29,,
