Player (413),Pos,Age,YOE,Prev Team,Prev AAV,Type,Market ValueAAV
Cam Jones,LB,26.3,3,NYJ,"$903,333",UFA,
Malik Heath,WR,26,3,ATL,"$901,333",UFA,
Markees Watts,ED,26.2,3,TB,"$898,333",UFA,
Anfernee Orji,ED,25.4,2,TEN,"$877,500",UFA,
Ryan Miller,WR,26,2,NYG,"$877,500",ERFA,
Isaiah Iton,DL,24.5,1,NE,"$840,000",UFA,
Jacob Slade,DL,26,1,PIT,"$840,000",UFA,
Joshua Cephus,WR,24.9,1,JAX,"$840,000",UFA,
Mason Pline,TE,26.1,1,NO,"$840,000",UFA,
Obinna Eze,T,27.8,1,MIA,"$840,000",UFA,
Donovan Jennings,G,26.2,1,GB,"$840,000",ERFA,
Eric Kendricks,LB,34,10,SF,"$396,000",UFA,
Will Grier,QB,30.9,6,DAL,"$396,000",UFA,
Tyler Hall,CB,27.3,4,SEA,"$315,000",UFA,
Dane Jackson,CB,29.2,4,BUF,"$315,000",UFA,
Nick Hampton,ED,25.9,3,LAR,"$234,000",UFA,
Tyler McLellan,LT,26.6,,TB,"$234,000",ERFA,
Jeff Driskel,QB,32.8,8,WAS,$0,UFA,
Chase Edmonds,RB,29.9,7,WAS,$0,UFA,
Jack Westover,TE,26.8,1,NE,$0,ERFA,
Tyrone Wheatley Jr.,RT,29.1,2,ATL,,UFA,
Dicaprio Bootle,CB,28.4,2,DET,,UFA,
Jalen Reeves-Maybin,LB,31.1,8,CHI,,UFA,
