position,line_bucket,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
TE,<20,False,mid_total_42_47,29.0,0.41379310344827586,0.5862068965517241,0.0,-110.0,-110.0,-0.2100313479623824,0.11912225705329159
TE,<20,False,high_total_47_plus,14.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,<20,True,low_total_<42,34.0,0.47058823529411764,0.5294117647058824,0.0,-109.8529411764706,-110.1470588235294,-0.10160427807486627,0.009532666821669415
TE,<20,True,mid_total_42_47,35.0,0.5142857142857142,0.4857142857142857,0.0,-109.71428571428571,-110.28571428571429,-0.016944959802102616,-0.07385657820440428
TE,<20,True,high_total_47_plus,13.0,0.5384615384615384,0.46153846153846156,0.0,-110.0,-110.0,0.02493159014898148,-0.12192155670416538
TE,20-30,False,low_total_<42,28.0,0.5357142857142857,0.4642857142857143,0.0,-110.0,-110.0,0.02272727272727277,-0.1136363636363636
TE,20-30,False,mid_total_42_47,41.0,0.5121951219512195,0.4878048780487805,0.0,-110.34146341463415,-100.0,-0.022242185376931446,-0.06651884700665185
TE,20-30,False,high_total_47_plus,8.0,0.375,0.625,0.0,-110.0,-110.0,-0.28409090909090906,0.19318181818181823
TE,20-30,True,low_total_<42,21.0,0.6190476190476191,0.38095238095238093,0.0,-110.0952380952381,-109.9047619047619,0.18261984928651598,-0.27109368618802576
TE,20-30,True,mid_total_42_47,39.0,0.5897435897435898,0.41025641025641024,0.0,-110.12820512820512,-109.87179487179488,0.12587412587412591,-0.21567321567321565
TE,20-30,True,high_total_47_plus,18.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,30-40,False,low_total_<42,9.0,0.4444444444444444,0.5555555555555556,0.0,-110.0,-110.0,-0.1515151515151515,0.06060606060606065
TE,30-40,False,mid_total_42_47,26.0,0.6153846153846154,0.38461538461538464,0.0,-110.0,-110.0,0.17482517482517487,-0.26573426573426573
TE,30-40,False,high_total_47_plus,16.0,0.5625,0.4375,0.0,-110.0,-110.0,0.07386363636363641,-0.16477272727272724
