player_norm,team,player,source_count,sources,pass_att_mean,pass_att_median,pass_att_std_sources,pass_att_min,pass_att_max,pass_yds_mean,pass_yds_median,pass_yds_std_sources,pass_yds_min,pass_yds_max,pass_td_mean,pass_td_median,pass_td_std_sources,pass_td_min,pass_td_max,int_mean,int_median,int_std_sources,int_min,int_max,rush_att_mean,rush_att_median,rush_att_std_sources,rush_att_min,rush_att_max,rush_yds_mean,rush_yds_median,rush_yds_std_sources,rush_yds_min,rush_yds_max,rush_td_mean,rush_td_median,rush_td_std_sources,rush_td_min,rush_td_max,fpts_mean,fpts_median,fpts_std_sources,fpts_min,fpts_max,pass_yds_range_sources,pass_yds_cv_sources,low_source_count
carson wentz,MIN,Carson Wentz,2,"ESPN_CBS,FantasyPros",0.9,0.9,0.0,0.9,0.9,6.7,6.7,0.0,6.7,6.7,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.0,0.2,0.2,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
zach wilson,NO,Zach Wilson,2,"ESPN_CBS,FantasyPros",0.9,0.9,0.0,0.9,0.9,6.5,6.5,0.0,6.5,6.5,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,True
nick mullens,JAC,Nick Mullens,2,"ESPN_CBS,FantasyPros",0.8,0.8,0.0,0.8,0.8,6.4,6.4,0.0,6.4,6.4,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.6,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,True
gardner minshew,ARI,Gardner Minshew II,2,"ESPN_CBS,FantasyPros",0.9,0.9,0.0,0.9,0.9,6.3,6.3,0.0,6.3,6.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.6,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
jimmy garoppolo,LAR,Jimmy Garoppolo,2,"ESPN_CBS,FantasyPros",0.8,0.8,0.0,0.8,0.8,6.3,6.3,0.0,6.3,6.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
kirk cousins,LV,Kirk Cousins,2,"ESPN_CBS,FantasyPros",0.8,0.8,0.0,0.8,0.8,6.2,6.2,0.0,6.2,6.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
jacoby brissett,ARI,Jacoby Brissett,2,"ESPN_CBS,FantasyPros",0.8,0.8,0.0,0.8,0.8,6.0,6.0,0.0,6.0,6.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
joe milton,DAL,Joe Milton III,2,"ESPN_CBS,FantasyPros",0.9,0.9,0.0,0.9,0.9,6.0,6.0,0.0,6.0,6.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
mac jones,SF,Mac Jones,2,"ESPN_CBS,FantasyPros",0.8,0.8,0.0,0.8,0.8,5.9,5.9,0.0,5.9,5.9,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.6,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,True
marcus mariota,WAS,Marcus Mariota,2,"ESPN_CBS,FantasyPros",0.8,0.8,0.0,0.8,0.8,5.9,5.9,0.0,5.9,5.9,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.9,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,True
