player,player_norm,team,source,pass_att,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,fpts
Deshaun Watson,deshaun watson,CLE,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,nathan peterman,DEN,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Huntley,tyler huntley,BAL,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,shane buechele,BUF,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Ehlinger,sam ehlinger,DEN,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Clifford,sean clifford,CIN,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Levis,will levis,TEN,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle McCord,kyle mccord,GB,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graham Mertz,graham mertz,HOU,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinn Ewers,quinn ewers,MIA,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stetson Bennett IV,stetson bennett,LAR,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe,bailey zappe,NYJ,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skylar Thompson,skylar thompson,BAL,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aidan O'Connell,aidan oconnell,LV,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hendon Hooker,hendon hooker,TEN,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Oladokun,chris oladokun,KC,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner McKee,tanner mckee,PHI,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton Tune,clayton tune,HOU,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riley Leonard,riley leonard,IND,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy DeVito,tommy devito,NE,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shedeur Sanders,shedeur sanders,CLE,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Howard,will howard,PIT,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurtis Rourke,kurtis rourke,SF,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Miller,cam miller,MIA,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,lamar jackson,BAL,NFL_FFToday,29.0,233.2,1.8,0.4,9.0,55.8,0.3,22.9
Jalen Hurts,jalen hurts,PHI,NFL_FFToday,31.0,225.6,1.5,0.4,9.0,39.7,0.8,22.8
Josh Allen,josh allen,BUF,NFL_FFToday,34.0,248.4,1.5,0.3,9.0,37.3,0.5,21.9
Jayden Daniels,jayden daniels,WAS,NFL_FFToday,31.0,228.1,1.5,0.3,10.0,52.4,0.4,21.9
Joe Burrow,joe burrow,CIN,NFL_FFToday,36.0,278.0,2.2,0.8,4.0,11.7,0.1,20.4
Patrick Mahomes II,patrick mahomes,KC,NFL_FFToday,37.0,257.5,1.7,0.4,4.0,20.6,0.1,19.3
Baker Mayfield,baker mayfield,TB,NFL_FFToday,35.0,260.3,1.9,0.9,5.0,16.9,0.1,19.0
Kyler Murray,kyler murray,MIN,NFL_FFToday,34.0,236.0,1.4,0.9,6.0,36.1,0.2,18.4
Bo Nix,bo nix,DEN,NFL_FFToday,36.0,235.5,1.5,0.4,6.0,25.8,0.1,18.2
Justin Fields,justin fields,KC,NFL_FFToday,29.0,202.1,1.1,0.9,8.0,44.1,0.4,17.6
Dak Prescott,dak prescott,DAL,NFL_FFToday,37.0,259.9,1.8,0.9,2.0,8.4,0.0,17.2
Brock Purdy,brock purdy,SF,NFL_FFToday,32.0,256.8,1.4,0.9,3.0,13.5,0.2,17.2
Jared Goff,jared goff,DET,NFL_FFToday,34.0,263.3,1.7,0.9,2.0,4.7,0.1,17.0
Jordan Love,jordan love,GB,NFL_FFToday,32.0,241.8,1.5,0.9,2.0,10.2,0.2,16.6
Trevor Lawrence,trevor lawrence,JAC,NFL_FFToday,32.0,241.8,1.5,0.9,3.0,16.0,0.2,16.6
Justin Herbert,justin herbert,LAC,NFL_FFToday,31.0,232.0,1.4,0.3,4.0,17.2,0.1,16.5
Geno Smith,geno smith,NYJ,NFL_FFToday,36.0,260.2,1.4,0.9,3.0,11.6,0.0,15.9
Caleb Williams,caleb williams,CHI,NFL_FFToday,36.0,233.7,1.2,0.9,5.0,26.0,0.1,15.9
Drake Maye,drake maye,NE,NFL_FFToday,33.0,218.8,1.3,0.9,3.0,26.7,0.1,15.8
C.J. Stroud,cj stroud,HOU,NFL_FFToday,37.0,253.9,1.4,0.9,2.0,10.0,0.0,15.8
Tua Tagovailoa,tua tagovailoa,ATL,NFL_FFToday,34.0,253.9,1.5,0.9,2.0,6.6,0.0,15.6
J.J. McCarthy,jj mccarthy,MIN,NFL_FFToday,34.0,240.7,1.3,0.9,3.0,14.1,0.1,15.5
Bryce Young,bryce young,CAR,NFL_FFToday,35.0,226.0,1.3,0.8,3.0,17.4,0.1,15.4
Matthew Stafford,matthew stafford,LAR,NFL_FFToday,33.0,238.5,1.5,0.4,1.0,1.6,0.0,15.2
Joe Flacco,joe flacco,CIN,NFL_FFToday,34.0,256.6,1.5,1.0,0.0,1.9,0.0,15.2
Daniel Jones,daniel jones,IND,NFL_FFToday,35.0,221.2,1.1,0.8,5.0,25.6,0.2,15.0
Michael Penix Jr.,michael penix,ATL,NFL_FFToday,33.0,234.8,1.2,0.9,3.0,8.3,0.2,14.9
Sam Darnold,sam darnold,SEA,NFL_FFToday,34.0,238.0,1.2,1.0,4.0,11.0,0.0,14.4
Cam Ward,cam ward,TEN,NFL_FFToday,32.0,221.8,1.1,0.9,4.0,15.3,0.1,14.2
Spencer Rattler,spencer rattler,NO,NFL_FFToday,32.0,191.0,1.0,0.9,5.0,21.3,0.1,12.6
Jaxson Dart,jaxson dart,NYG,NFL_FFToday,0.0,4.3,0.0,0.0,0.0,4.3,0.0,1.0
