season,week,source,scoring,position,player,player_clean,team,fpid,mflid,filename,fp_points_std,fp_points_half,fp_points_ppr,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_pass_att,fp_pass_cmp,fp_pass_yds,fp_pass_tds,fp_pass_int,fp_fumbles,fp_ret_tds,fp_2pt_tds
2024,1,fantasypros_api,STD,RB,Patrick Ricard,patrick ricard,NYG,17145,13455.0,patrick-ricard.php,0.25,0.37,0.49,0.25,1.73,0.01,0.08,0.34,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Reggie Gilliam,reggie gilliam,NE,19844,15103.0,reggie-gilliam.php,0.22,0.35,0.48,0.26,1.75,0.01,0.03,0.03,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Michael Burton,michael burton,CLE,14191,12325.0,michael-burton.php,0.24,0.35,0.46,0.22,1.49,0.01,0.07,0.28,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Avery Williams,avery williams,FA,23279,15454.0,avery-williams-cb.php,0.3,0.37,0.44,0.14,0.83,0.0,0.36,1.74,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,C.J. Ham,cj ham,FA,16209,12923.0,cj-ham.php,0.21,0.31,0.4,0.19,1.29,0.01,0.13,0.55,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,DeeJay Dallas,deejay dallas,JAC,19521,14815.0,deejay-dallas.php,0.23,0.32,0.4,0.17,1.14,0.0,0.07,1.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Travis Homer,travis homer,PIT,18616,14083.0,travis-homer.php,0.24,0.3,0.37,0.12,0.89,0.0,0.07,1.35,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Khari Blasingame,khari blasingame,FA,18847,14552.0,khari-blasingame.php,0.15,0.26,0.36,0.21,0.56,0.0,0.35,0.95,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Kevin Harris,kevin harris,FA,23117,15719.0,kevin-harris.php,0.13,0.16,0.19,0.06,0.45,0.0,0.14,0.56,0.01,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Julius Chestnut,julius chestnut,TEN,24689,15965.0,julius-chestnut.php,0.07,0.1,0.13,0.06,0.47,0.0,0.07,0.27,0.0,,,,,,0.0,0.0,0.0
