"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Kyle Van Noy","LB","NE",14,4.17,1.32,0.213,3.27,5.08,-2.01,-1.81,-2.48,354,285,322,50,"3",35,NA,NA,44,7
"Emmanuel Sanders","WR","BUF",7,6.97,1.68,0.0524,4.7,8.69,-2.02,-2.61,-1.78,356,347,266,54,"10",39,NA,NA,54,11
"David Njoku","TE","CLE",13,4.58,0.555,0.0593,3.77,5.36,-2.02,-1.59,-2.76,357,255,343,26,"11",29,NA,NA,13,4
"Kemoko Turay","DL","IND",14,2.01,NA,0.02,NA,NA,-2.02,NA,NA,358,NA,NA,56,"5",30,NA,NA,NA,3
"Steven Means","DL","ATL",6,1.99,NA,0.07,NA,NA,-2.04,NA,NA,359,NA,NA,57,"6",36,NA,NA,NA,8
"K.J. Osborn","WR","MIN",7,6.92,1.14,0.0688,5.63,8.37,-2.07,-1.68,-2.1,365,263,290,55,"10",28,NA,NA,18,1
"Cameron Brate","TE","TB",9,4.52,1.44,0.0518,3.24,6.45,-2.08,-2.12,-1.66,367,318,257,27,"11",34,NA,NA,71,7
"Jordan Howard","RB","PHI",14,6.9,2.55,0.23,4.05,10.3,-2.1,-2.67,-0.688,369,355,183,43,"8",31,NA,NA,85,5
"Akiem Hicks","DL","CHI",10,1.92,NA,0.03,NA,NA,-2.11,NA,NA,372,NA,NA,58,"6",36,NA,NA,NA,9
"Matt Ioannidis","DL","WAS",9,1.92,NA,0,NA,NA,-2.11,NA,NA,372,NA,NA,58,"6",32,NA,NA,NA,5
"Ryan Griffin","TE","NYJ",6,4.46,NA,0.0178,NA,NA,-2.13,NA,NA,374,NA,NA,28,"11",36,NA,NA,NA,8
"Tyler Johnson","WR","TB",9,6.85,0.694,0.0772,6.09,7.71,-2.14,-1.22,-2.75,376,228,342,56,"10",27,NA,NA,6,1
"Dawuane Smoot","DL","JAC",7,1.89,NA,0.01,NA,NA,-2.14,NA,NA,377,NA,NA,59,"6",31,NA,NA,NA,4
